County,Democratic,Republican,Libertarian,Other,Total
Accomack County,4876,5736,54,0,10666
Albemarle County,26969,14857,458,24,42308
Alexandria City,40896,10822,434,37,52189
Alleghany County,1478,2888,36,1,4403
Amelia County,1403,3170,40,1,4614
Amherst County,3258,6431,83,14,9786
Appomattox County,1227,3894,50,1,5172
Arlington County,68093,16268,801,52,85214
Augusta County,6030,17217,311,16,23574
Bath County,450,1013,16,3,1482
Bedford County,6985,20573,243,6,27807
Bland County,388,1676,20,1,2085
Botetourt County,3409,8965,122,6,12502
Bristol City,1242,3006,43,3,4294
Brunswick County,2728,2010,19,0,4757
Buchanan County,1062,3449,28,3,4542
Buckingham County,1924,2638,36,4,4602
Buena Vista City,529,1090,33,3,1655
Campbell County,4415,12791,156,11,17373
Caroline County,4126,4135,96,3,8360
Carroll County,1838,6363,74,2,8277
Charles City County,1699,1000,17,0,2716
Charlotte County,1419,2559,31,5,4014
Charlottesville City,13943,2315,172,18,16448
Chesapeake City,38459,33108,849,31,72447
Chesterfield County,58991,58297,1323,58,118669
Clarke County,2400,3102,65,5,5572
Colonial Heights City,1389,3710,63,2,5164
Covington City,545,784,12,1,1342
Craig County,413,1398,28,2,1841
Culpeper County,4990,8423,162,12,13587
Cumberland County,1292,1810,33,0,3135
Danville City,6304,4664,53,7,11028
Dickenson County,959,2458,25,3,3445
Dinwiddie County,3712,4565,56,2,8335
Emporia City,909,702,22,0,1633
Essex County,1730,1963,26,4,3723
Fairfax County,255200,117141,3423,240,376004
Fairfax City,5380,2822,92,6,8300
Falls Church City,4781,1195,76,2,6054
Fauquier County,9430,14332,270,7,24039
Floyd County,1946,3468,72,5,5491
Fluvanna County,4267,4864,89,5,9225
Franklin County,5315,12062,201,10,17588
Franklin City,1539,1002,15,0,2556
Frederick County,8363,15656,278,18,24315
Fredericksburg City,4649,2463,107,2,7221
Galax City,409,930,13,3,1355
Giles County,1604,4161,66,3,5834
Gloucester County,4356,8159,140,4,12659
Goochland County,3911,6520,104,6,10541
Grayson County,1029,3478,28,2,4537
Greene County,2219,4000,86,4,6309
Greensville County,1643,1232,18,0,2893
Halifax County,4037,6291,79,7,10414
Hampton City,28906,11050,399,29,40384
Hanover County,14755,27779,599,24,43157
Harrisonburg City,6555,3596,154,7,10312
Henrico County,69969,43747,1268,53,115037
Henry County,4895,9046,113,3,14057
Highland County,317,699,18,0,1034
Hopewell City,2728,2641,81,9,5459
Isle of Wight County,5957,8039,124,3,14123
James City County,15561,15937,290,13,31801
King and Queen County,1039,1404,28,1,2472
King George County,2658,4396,90,5,7149
King William County,2017,3889,65,6,5977
Lancaster County,2098,2680,27,3,4808
Lee County,1304,5289,82,3,6678
Lexington City,1161,572,13,1,1747
Loudoun County,69778,46396,1258,54,117486
Louisa County,4481,7153,163,6,11803
Lunenburg County,1468,2158,23,1,3650
Lynchburg City,10047,10959,284,17,21307
Madison County,1789,3082,59,1,4931
Manassas City,5295,3899,112,6,9312
Manassas Park City,1958,1064,53,1,3076
Martinsville City,2187,1489,57,2,3735
Mathews County,1386,2531,31,2,3950
Mecklenburg County,3399,5125,37,0,8561
Middlesex County,1606,2673,41,0,4320
Montgomery County,15115,12500,499,19,28133
Nelson County,3015,3020,130,9,6174
New Kent County,2729,5711,108,4,8552
Newport News City,30367,15986,576,35,46964
Norfolk City,39453,13490,676,51,53670
Northampton County,2492,1855,28,3,4378
Northumberland County,2022,3285,35,3,5345
Norton City,287,561,11,1,860
Nottoway County,1812,2408,30,0,4250
Orange County,4160,6653,97,5,10915
Page County,1809,4850,62,5,6726
Patrick County,1259,4320,54,0,5633
Petersburg City,7164,938,56,9,8167
Pittsylvania County,5759,13701,109,4,19573
Poquoson City,1298,3473,56,3,4830
Portsmouth City,20156,8167,369,18,28710
Powhatan County,3109,8256,137,4,11506
Prince Edward County,2881,2708,63,2,5654
Prince George County,4150,6044,108,4,10306
Prince William County,74932,46454,1247,99,122732
Pulaski County,3533,8081,160,5,11779
Radford City,2163,1707,65,5,3940
Rappahannock County,1488,1772,25,2,3287
Richmond County,876,1479,14,2,2371
Richmond City,58047,12262,905,47,71261
Roanoke County,12650,20648,408,24,33730
Roanoke City,15099,8890,337,18,24344
Rockbridge County,2974,4873,77,9,7933
Rockingham County,7061,17880,322,7,25270
Russell County,1506,5144,60,1,6711
Salem City,3134,4946,113,3,8196
Scott County,1089,4997,51,2,6139
Shenandoah County,3932,9220,157,6,13315
Smyth County,1747,6107,78,7,7939
Southampton County,2529,3564,60,2,6155
Spotsylvania County,15869,20481,426,22,36798
Stafford County,19011,21123,489,21,40644
Staunton City,4047,3406,132,4,7589
Suffolk City,16621,11623,278,10,28532
Surry County,1658,1268,32,1,2959
Sussex County,1829,1429,25,1,3284
Tazewell County,1657,8373,57,9,10096
Virginia Beach City,66442,60073,1541,82,128138
Warren County,3531,6711,127,4,10373
Washington County,4003,12247,148,6,16404
Waynesboro City,2653,3144,97,1,5895
Westmoreland County,2442,2865,51,2,5360
Williamsburg City,3725,1492,54,2,5273
Winchester City,3569,2969,107,3,6648
Wise County,1910,6630,84,4,8628
Wythe County,2114,6321,71,8,8514
York County,10068,12708,269,15,23060
TOTALS,1408818,1175732,27987,1528,2614065