date,city,stadium,openers
3/18/22," Glendale, AZ ", State Farm Stadium ,"with Paramore, GAYLE"
3/25/22," Las Vegas, NV ", Allegiant Stadium ,"with beabadoobee, GAYLE"
4/1/22," Arlington, TX ", AT&T Stadium ,"with beabadoobee, Gracie Abrams"
4/2/22," Arlington, TX ", AT&T Stadium ,"with beabadoobee, Gracie Abrams"
4/15/22," Tampa, FL ", Raymond James Stadium ,"with beabadoobee, Gracie Abrams"
4/22/22," Houston, TX ", NRG Stadium ,"with beabadoobee, Gracie Abrams"
4/28/22," Atlanta, GA ", Mercedes-Benz Stadium ,"with beabadoobee, Gracie Abrams"
4/29/22," Atlanta, GA ", Mercedes-Benz Stadium ,"with beabadoobee, Gracie Abrams"
5/6/22," Nashville, TN ", Nissan Stadium ,"with Phoebe Bridgers, GAYLE"
5/12/22," Philadelphia, PA ", Lincoln Financial Field ,"with Phoebe Bridgers, GAYLE"
5/13/22," Philadelphia, PA ", Lincoln Financial Field ,"with Phoebe Bridgers, GAYLE"
5/19/22," Foxborough, MA ", Gillette Stadium ,"with Phoebe Bridgers, GAYLE"
5/20/22," Foxborough, MA ", Gillette Stadium ,"with Phoebe Bridgers, GAYLE"
5/26/22," East Rutherford, NJ ", MetLife Stadium ,"with Phoebe Bridgers, GAYLE"
5/27/22," East Rutherford, NJ ", MetLife Stadium ,"with Phoebe Bridgers, Gracie Abrams"
6/2/22," Chicago, IL ", Soldier Field ,"with girl in red, OWENN"
6/3/22," Chicago, IL ", Soldier Field ,"with girl in red, OWENN"
6/10/22," Detroit, MI ", Ford Field ,"with girl in red, OWENN"
6/17/22," Pittsburgh, PA ", Acrisure Stadium ,"with girl in red, OWENN"
6/24/22," Minneapolis, MN ", U.S. Bank Stadium ,"with girl in red, OWENN"
7/1/22," Cincinnati, OH ", Paycor Stadium ,"with MUNA, Gracie Abrams"
7/8/22," Kansas City, MO ", GEHA Field at Arrowhead Stadium ,"with MUNA, Gracie Abrams"
7/15/22," Denver, CO ", Empower Field at Mile High ,"with MUNA, Gracie Abrams"
7/22/22," Seattle, WA ", Lumen Field ,"with HAIM, Gracie Abrams"
7/29/22," Santa Clara, CA ", Levi’s® Stadium ,"with HAIM, Gracie Abrams"
8/4/22," Los Angeles, CA ", SoFi Stadium ,"with HAIM, OWENN"
8/5/22," Los Angeles, CA ", SoFi Stadium ,"with HAIM, GAYLE"