state,candy,candy_category
Missouri,3 Musketeers Fun Size Chocolate Candy Bars,Other
Vermont,Life Savers Gummies 5 Flavors Gummy Candy,Other
Arizona,M&M'S Milk Chocolate Candies,M&M's
District of Columbia, M&M'S Milk Chocolate,M&M's
Georgia,M&M'S Milk Chocolate Fun Size Halloween Candy,M&M's
Idaho,M&M'S Minis Milk Chocolate,M&M's
Mississippi,M&M'S Milk Chocolate Candy,M&M's
Nevada,M&M'S Milk Chocolate Fun Size Glow In The Dark Trick Or Treat Packs,M&M's
New Mexico,M&M'S Peanut Milk Chocolate Candy,M&M's
South Dakota,M&M'S Peanut Milk Chocolate Candies,M&M's
Tennessee,M&M'S Milk Chocolate Candy,M&M's
Hawaii,Milky Way Fun Size Milk Chocolate Candy Bars,Milky Way
Nebraska,Milky Way Milk Chocolate Singles Size Candy Bar,Milky Way
Oregon,Milky Way Fun Size Milk Chocolate Candy Bars,Milky Way
Montana,Orbit Spearmint Sugarfree Gum Multipack - 14 sticks,Other
Delaware, Skittles Original Fun Size Multipack,Skittles
New Hampshire,Skittles Original Bite Candies,Skittles
North Dakota,Skittles Original Fun Size Multipack,Skittles
Ohio,Skittles Original Fun Size Multipack,Skittles
West Virginia,Skittles Original Bite Candies,Skittles
California,Mars Skittles Starbursts Halloween Candy Bag Fun Size Pieces,Skittles & Starburst
Connecticut,Mars Skittles Starbursts Halloween Candy Bag Fun Size Pieces,Skittles & Starburst
Alabama,Snickers Minis Chocolate Candy Bars,Snickers
Arkansas,Snickers Fun Size Chocolate Candy Bars,Snickers
Florida,Snickers Minis Size Chocolate Candy Bars 18-oz. Family Size Bag,Snickers
Illinois,Snickers Fun Size Chocolate Candy Bars,Snickers
Indiana,Snickers Fun Size Chocolate Candy Bars,Snickers
Kentucky,Snickers Fun Size Chocolate Candy Bars,Snickers
Louisiana,Snickers Fun Size Chocolate Candy Bars,Snickers
Maryland,Snickers Fun Size Chocolate Candy Bars,Snickers
Michigan,Snickers Fun Size Chocolate Candy Bars,Snickers
Minnesota,Snickers Fun Size Chocolate Candy Bars,Snickers
New Jersey,Snickers Fun Size Chocolate Candy Bars,Snickers
New York,Snickers Fun Size Chocolate Candy Bars,Snickers
North Carolina,Snickers Fun Size Chocolate Candy Bars,Snickers
Oklahoma,Snickers Fun Size Chocolate Candy Bars,Snickers
South Carolina,Snickers Fun Size Chocolate Candy Bars,Snickers
Virginia,Snickers Fun Size Chocolate Candy Bars,Snickers
Wisconsin,Snickers Fun Size Chocolate Candy Bars,Snickers
Wyoming,Snickers Fun Size Chocolate Candy Bars,Snickers
Iowa,Starburst Original Fruit Chews Candy,Starburst
Maine,Starburst FaveREDs Sharing Size,Starburst
Rhode Island,Starburst Original Family Size Chewy Candy,Starburst
Colorado,TWIX Caramel Fun Size Chocolate Cookie Bar Candy,TWIX
Kansas,TWIX Caramel Fun Size Chocolate Cookie Bar Candy,TWIX
Massachusetts,TWIX Caramel Fun Size Chocolate Cookie Bar Candy,TWIX
Pennsylvania,TWIX Caramel Fun Size Chocolate Cookie Bar Candy,TWIX
Texas,TWIX Minis Caramel Chocolate Cookie Bar Candy,TWIX
Utah,TWIX Caramel Fun Size Chocolate Cookie Bar Candy,TWIX
Washington,TWIX Caramel Fun Size Chocolate Cookie Bar Candy,TWIX