Place,Type,Category,Borough,Address,Latitude,Longitude,Desc
The Ginger Man,Bar,Bar,Manhattan,"11 E 36th St, New York, NY 10016",40.7494387,-73.9827137,First Date
Scallywags,Bar,Bar,Manhattan,"508 9th Ave, New York, NY 10018",40.7560719,-73.9939672,First Date
Death & Company,Bar,Bar,Manhattan,"433 E 6th St, New York, NY 10009",40.72592,-73.9846452,First Date
The Aviary,Bar,Bar,Manhattan,"80 Columbus Cir, New York, NY 10023",40.7688396,-73.9830036,Date Night
The Dead Rabbit,Bar,Bar,Manhattan,"30 Water St, New York, NY 10004",40.7032966,-74.0110309,Date Night
Cubbyhole,Bar,LGBTQ+,Manhattan,"281 W 12th St, New York, NY 10014",40.7376831,-74.0037636,Pride
Henrietta Hudson,Bar,LGBTQ+,Manhattan,"438 Hudson St, New York, NY 10014",40.731133,-74.0064631,Pride
The McKittrick Hotel,Entertainment,Entertainment,Manhattan,"530 W 27th St, New York, NY 10001",40.7505942,-74.0038776,Valentines Date
Narcissa (The Standard),Restaurant,Restaurant,Manhattan,"25 Cooper Sq, New York, NY 10003",40.7278329,-73.9909406,Valentines Date
Industry Kitchen,Restaurant,Restaurant,Manhattan,"70 South Street, 10005 Maiden Ln At, New York, 10038",40.7066092,-74.0062499,After Work Date
abcV,Restaurant,Restaurant,Manhattan,"38 E 19th St, New York, NY 10003",40.7379868,-73.9892758,After Work Date
The Flying Cock,Restaurant,Restaurant,Manhattan,"497 3rd Ave, New York, NY 10016",40.745286,-73.9780771,Jalex's Places
Harlem Public,Restaurant,Restaurant,Manhattan,"3612 Broadway, New York, NY 10031",40.828757,-73.9483513,Kristen's Stomping Grounds
At The Wallace,Restaurant,Restaurant,Manhattan,"3612 Broadway, New York, NY 10031",40.828757,-73.9483513,Kristen's Stomping Grounds
The Honey Well,Bar,Bar,Manhattan,"3604 Broadway, New York, NY 10031",40.8284521,-73.9485715,Kristen's Stomping Grounds
Miznon,Restaurant,Restaurant,Manhattan,"435 W 15th St, New York, NY 10011",40.7424999,-74.0064402,Jalex's Places
Lillie's Victorian Establishment,Restaurant,Restaurant,Manhattan,"13 E 17th St, New York, NY 10003",40.7376364,-73.9911587,After Work Date
Avant Garden,Restaurant,Restaurant,Manhattan,"130 E 7th St, New York, NY 10009",40.7261118,-73.9839627,Anniversary Date
Al Hirschfield Theatre,Entertainment,Entertainment,Manhattan,"302 W 45th St, New York, NY 10036",40.7592576,-73.9892011,Broadway
Brooks Atkinson Theatre,Entertainment,Entertainment,Manhattan,"256 W 47th St, New York, NY 10036",40.7599414,-73.9869091,Broadway
Two Hands,Restaurant,Restaurant,Manhattan,"251 Church St, New York, NY 10013",40.7178044,-74.0054369,Avi Brunch
iPic Theaters,Entertainment,Entertainment,Manhattan,"11 Fulton St, New York, NY 10038",40.7066254,-74.0031519,Movie Date
The NoMad Bar,Bar,Bar,Manhattan,"10 W 28th St, New York, NY 10001",40.7448689,-73.9882638,Date Night
Sapps,Restaurant,Restaurant,Queens,"27-26 Jackson Ave, Long Island City, NY 11101",40.7476259,-73.940084,Regular
Dutch Kills,Bar,Bar,Queens,"27-24 Jackson Ave, Queens, NY 11101",40.7476605,-73.940184,Regular
Albatross Bar,Bar,LGBTQ+,Queens,"3619 24th Ave, Astoria, NY 11103",40.7701915,-73.9121803,Regular
Theater XIV,Entertainment,Entertainment,Brooklyn,"383 Troutman St, Brooklyn, NY 11237",40.7061425,-73.9235362,Date Night
Alamo Drafthouse Theater,Entertainment,Entertainment,Brooklyn,"445 Albee Square W 4th floor, Brooklyn, NY 11201",40.6913484,-73.982469,Date Night
Proper West,Restaurant,Restaurant,Manhattan,"54 W 39th St, New York, NY 10018",40.752396,-73.9847706,Date Night
American Airlines Theater,Entertainment,Entertainment,Manhattan,"227 W 42nd St, New York, NY 10036",40.7567795,-73.9881743,Bernhardt/Hamlet
Wythe Hotel,Bar,Bar,Manhattan,"80 Wythe Ave, Brooklyn, NY 11249",40.7218824,-73.9580728,Hotel Bar
Randall's Island Park,Entertainment,Entertainment,Manhattan,"20 Randalls Island Park, New York, NY 10035",40.7932254,-73.9242406,Music Fesitval
Rise Bar,Bar,LGBTQ+,Manhattan,"859 9th Ave, New York, NY 10019",40.767238,-73.9866,
Boxers,Bar,LGBTQ+,Manhattan,"37 W 20th St, New York, NY 10011",40.7407505,-73.9931495,